"","ZMYND8","TPCN1","HEG1","HACE1","LDLR","MOCS1","KIR2DS2","ACADM","PIK3IP1","PBRM1","TBC1D15","DBNDD1","ZFP64","GALNT12","UBALD1","ARHGAP9","LSS","LOC100133227","LOC100131066","LOC100130899","N4BP3","LINC01531","LOC100507281","CREB3L2","ERMP1","NEK1","PIAS3","BICDL2","GPM6A","ZBTB8A","ABCC5","BMPR2","ZXDC","RAMP1","HEMK1","NMRK1","RPL5","PSME2","SCD5","KMT2A","RGS16","CD38","SHOX2","FAM189B","PPM1M","PADI2","TROAP","IFI6","DDX46","USP18","CST7","DHRS1","LITAF","CDK2AP2","POF1B","HPGDS","NTN5","SH2D1B","SORD","RBMY2FP","TRGV7","BTRC","MLC1","FITM2","RPS10P7","CENPC","FBXL2","ALDH6A1","MTMR1","SPEM1","TRGV5","XK","RBM45","NPL","ADHFE1","LDHD","SMAD6","ANAPC4","MRAP","PRF1","AUTS2","COA6","ASPH","KLHL10","NECAB1","MGC4771","TPSD1","CRYBB2","CSF2RB","TRBV19","HIST1H3G","ING1","CCL23","IL18R1","WASHC1","PCDHB2","YIPF7","MGARP","MAP3K8","ABCD2","BANF1","IFT74","AGMO","LIN54","OAS3","RB1CC1","ZMYND11","HK2","IL2RG","NAGA","KRT2","PMS1","AGTR2","ZNF818P","CDY2B","PRY2","CDY1B","ZSCAN2","AGPAT4","HERC4","CTSL3P","ACR","ACTN2","CDK8","CREBL2","ACAA1","ARNT","AUH","CAT","CCR3","ATF2","FCER1A","GNAL","INSM1","ITGA5","MTAP","ODF2","OVGP1","SERPINB2","PHB","POU2F1","PPP1CB","PTPN9","ATXN2","SELPLG","TGIF1","UNG","ZNF133","ADAM12","HIST1H3H","CD83","CD163","SEMA4F","CDH1","EPRS","FOXA3","NAIP","STK17A","SPTLC2","MTOR","PLA2G7","CCS","GRK3","HCLS1","DMXL1","SMO","AKAP9","RNF41","MPHOSPH6","SMAD7","GZMA","PPP2R5D","FBLN5","TBL3","RELB","PDIA5","TKTL1","PITPNC1","IKBKE","SLC25A13","CADM1","CLDN15","UBE3C","PIEZO1","RNF144A","SNX19","KIAA0141","NCAPD2","POLA1","TCP11L1","PPP3CB","CAPN3","ZNF767P","PCDHGA6","OMA1","APOL1","RNF135","ZDHHC16","HNRNPA3P1","ABCG1","SKIL","KIR2DL4","LOC401957","EEF1B2P5","LOC439962","LOC643654","LOC644193","RPL37AP8","LOC644590","LOC645529","FAM90A22P","PHKA1P1","RPS28P4","LOC646543"
"ZMYND8",0,-0.144976756179022,-0.0650884645077341,-0.0293030369042448,-0.0196870492757368,-0.0338039142491203,0.0444268757415859,-0.0523609458222628,-0.0147333950102318,0.0228875909021935,0.0161461410531467,0.0434810943732643,0.0408222773785872,0,0.00551385902265421,-0.0204801184049534,-0.0121517300648,0.0458753099231042,-0.0949470666568949,0.010030952636374,-0.0459765787885095,0.0295889835217791,0.0730629529920386,0,-0.0579636826623668,0.0417114855817593,-0.0269081457271136,-0.118386143247353,0,0.169591285186534,0.202686576893632,0.00254256517909253,-0.085934334874802,-0.178787667124771,-0.0429968316449348,-0.16309496819963,-0.0467384646954677,0.0539074780548218,0.0364679072323791,0.00546495725102001,-0.0760982778526293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPCN1",-0.101657828315002,0,0.0819280010475326,0.0293445105114747,0.0539556579683034,-0.0992886506629329,0.0580746600711751,-0.0192286552943539,0.0509013413362723,-0.0564759176710543,-0.0438982545845939,-0.0236074159053789,0.0509434706574756,0.0570059246914491,-0.0685002892955735,-0.0474548048301222,-0.0369674000029244,0.0336790656843977,-0.0501172107062257,0.0343153583691119,0.0478010951935127,-0.0280928671925802,0.0464984521921446,0.190248773623992,0.0473133365450004,0,0.0301984568369447,-0.0129485248227215,0.0483618700521101,-0.0225598868697961,-0.0986870918506435,-0.0243170006356041,0.0953957622071645,0.065525077401524,0.0432555167943469,-0.00537677135778252,0.0348241750702249,-0.0462960235097665,-0.0168074650152868,-0.0154617595723901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEG1",-0.0581758401670213,0.0683760130011174,0,0,0.14078516470132,-0.0203673276614004,0.195606508283994,-0.012560639317536,0.059837442235594,0.162061233548677,0.0459564279599961,-0.0154625804850534,0,0.0822395332353705,-0.0551683631459839,0.0268925387393571,-0.0467517315105646,0.0555595284916578,0.0169208332212034,0.0246722993366825,0.0196381577485057,-0.0385998702580993,-0.0290281018990025,0.0304734214501769,0.0299907120576449,0.0187579548541793,0.0454789280069919,-0.070984828357937,-0.0115010119701633,0.10599015874963,0,0.0593612133168947,0.0061141337403034,0.00374951947206867,0.0340240594095024,-0.04012792537391,-0.0338603976770166,-0.0577374048210952,0.0520297681218348,0.0251176237240811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HACE1",-0.0556559163025185,0.0200837092587651,-0.0569897307468367,0,0,0.0705658091085938,0.0287978528394609,0.00541846990296349,0.0415678639193512,-0.00531891091424635,0.00628209420760418,0.0348388565909904,-0.110062410460214,-0.0273230782683427,0,0.0377195622476709,-0.0414103910991743,0.0665605091704504,-0.0617067444534103,-0.0803901025379522,-0.0318393531992602,-0.0377174666321325,-0.0172324748804884,0,0,0.278873145558908,-0.0212985402902135,0.0807400105216643,-0.01590948277412,-0.065847261879808,0,0.0180915499858444,0.0391882881900247,0.045835415919903,0,-0.0394350003738778,-0.00783117886929501,0.00632438370794883,-0.10296071756691,-0.0203135424190722,-0.0911426866154661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDLR",-0.035671220011503,0.0405114549463986,0.131283974543879,0.0183135611162578,0,0.0627514917498956,0.0356245442428404,-0.0224035100009601,-0.063495980055464,-0.0304865510945584,0.0286526214238671,0.0153997529633001,-0.00429177827181683,0.0392138551354292,-0.138955416485251,0,0.185476528341779,0.0302190174664931,-0.194469481306807,-0.0160689977278735,0.0643604256886495,-0.0706825055300576,0,-0.042583620716823,0.0354389807866826,0.0392504517704254,0.0271243208773095,-0.0506376230590267,-0.0760874541779868,-0.0800999151756166,0.0371633559207977,0.00682986755184919,0.0713917961248233,0.0908255359163619,-0.0151522627583265,0.0147909674899281,0,0.0167183954440761,0.016638062826908,0,-0.051406614478482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOCS1",-0.0525031648002057,-0.0488740635321118,-0.00277489070607374,0,0.0532522612878813,0,-0.0338579082222511,-0.0293654438578026,0.0318933497427905,0.0271368759548773,-0.0187938762544944,0.0483101085042798,-0.0576721648544096,-0.0105875344627344,0.0896805955506717,0.0284786909831887,-0.0504222264714043,0.114511875534196,-0.057759439189682,0.00926013283609962,-0.0133490496506815,-0.018989805770497,-0.107111177005444,0,-0.00324379028400523,-0.00518046950077429,0.0860069625113356,0.102759805364715,0,-0.0413779136896348,0,0.00175300722776912,0,0,0.0364597823398321,0.055584631814505,0,0.00113332631009863,-0.0769369915110676,-0.0448053156478916,-0.0501508960558754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR2DS2",0.0266761112647106,0.0166073143249859,0.0277667443086211,0,0.0323339914659125,-0.0589889602921325,0,-0.0670517115479422,-0.0781317293328085,0.0222948332398061,-0.00653117721062822,0.0591057991232227,0.0388089217557,-0.0877496436062751,-0.0433643697673344,-0.0327994160933295,-0.0816213588640921,-0.0337936557986877,-0.0400878212930992,0.0226297437885556,-0.0357011716691679,-0.0227135304398101,0.046377498310469,0.165763119005481,0,0.0330657323996541,0.0169774774923375,-0.0522507306464512,0.00146040807375428,0.0383675568624154,-0.155746944516073,-0.0662202009004817,-0.0341143041666576,-0.0606261037170707,-0.032923254923059,-0.0995167880690872,0.0377366243366826,-0.0443034515364602,0.143123671323579,-0.00535135263648943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADM",-0.0697446170569332,0,-0.0204746835490955,0,-0.052000751278697,0.0158493112649338,-0.210543590855934,0,-0.0352582517007968,0.0161423400188483,-0.0128802514933993,0.0528566065807276,0,-0.0635614264254045,-0.13409706357849,0.0666065764151919,0.10505167778007,0.251333736467225,0.381414152483285,0.0309912808658254,-0.0511398925013498,-0.0783405340587228,0,0,0,-0.0286736584946751,-0.17937705809295,0.0164925591947055,-0.0427601472333823,0,0,0.0605451195085487,0,0,0.150976941324617,0.0039831673192109,0.109120262745725,0.0571480926472468,-0.161628391092252,-0.0937458495166404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3IP1",-0.0258186695537102,0.0527081918268077,0.176802197682883,0,-0.109066818827127,0.0995821697184046,-0.218583949935299,0,0,-0.0718026032962082,0.108842595431878,0,0.0884437233805227,0.0649845030396736,-0.0648791692624296,0.0273615643058611,-0.066829914510388,0.0512548290175286,0.254231471181338,-0.0331228442770548,0,-0.00452567802626364,-0.0284115938335068,0,0,-0.081817735564039,0.0217991302724578,-0.0991496885652216,0,-0.0444459555339574,-0.0773679348102264,0.0294662999361004,0,0.00249623854092268,0.0291801860611315,0,0.19820885224547,-0.0263351064250433,0,0.0807449309666632,-0.0310386119174999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBRM1",0.103015503740386,0,0.348330656983506,0,-0.0350350644937054,-0.00320451697416393,0.0579013858580061,0.0265011932131032,-0.0385979899154973,0,0.00692838021778577,-0.0417191738909032,-0.0820140651081389,0.0767201130452473,-0.0667782016222392,0.033162610415206,-0.0769620374236075,-0.0152574061206235,0.148004605115498,-0.0412923983079311,0.0574099016202414,-0.0148627823152741,-0.00680293232467515,0,0.0529077555389494,-0.0313262417263916,0.027173190501506,-0.0966738129647906,0,0.375540551693781,0,0.0360754337250455,0.00752284705938718,-0.021761477745774,-0.0271745077326905,-0.0423758039933854,-0.112239692371967,-0.0656948823364488,-0.0135331290788354,0.0420222581010302,0.00475501859191138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBC1D15",0.0826548885879012,-0.126222536510301,0.0278236277264263,0,0,0.0413421153237669,0,-0.0388231081466012,0.160303451426311,-0.0115513222397612,0,0.0513671859136855,0,0.0428421044260616,0.042142487355115,-0.110601016742646,0.0620266774787465,0,-0.0335555656562222,-0.0331948915531859,0,0,0.0185321075187544,-0.238972918084257,0,-0.0513519065019461,-0.0921545707505641,-0.0932382931448674,-0.0664868881588779,-0.0618806762350636,0,0.0007656810542556,-0.103112867800677,0,-0.0415044356000365,0.0132419123735744,0.00662617229892799,0.14968739206373,0.0774255099918769,0.0383755635208949,-0.14096769133293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBNDD1",0.0800115867634665,0,-0.0296441154152392,0.0275546189608925,0.0213750617865084,0.0998965174414946,0.0536679100178553,0.0438176749145584,-0.021209274933891,-0.0234841862906974,0.0233521191353934,0,0.285090940817668,-0.0292507277829141,0.0544958666576902,0.0318865458252012,0.0636139733653997,0.0843639503339025,0.0603756911227251,0.0553346262051226,0,-0.107138030692068,-0.0329547780202638,-0.0400202705024588,0,-0.0265434760951005,-0.00346111541510062,0.049845991507605,0.0320660038423382,-0.110430033390999,0,0.0131639688015808,0.0438599881219874,-0.0418682607852905,-0.0185427624401162,0.0154905847966535,0.0311982108808934,-0.0640165214476203,0.114081065030447,0.0486581364639389,-0.0230848488814885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZFP64",0.0559882338664113,0.0745370590479703,-0.0204229347304001,0,0,-0.0737060066268494,0.0916472461082828,0.03178166264673,0.0481640002323108,-0.0192983772859103,-0.00549873002298914,0.288878559263806,0,-0.00825287837045719,-0.0821938070693329,0,0.0388359798006251,0.0756714420674585,-0.121406383006106,-0.0151668175994393,-0.0306138475937081,-0.0491047577792264,0.0139930826221597,-0.00985757818248705,0.0222762787202774,-0.0542228583441159,0.0641992927353416,-0.0476405946379871,0.037170202712443,0.0249838516681611,0.160912521981423,-0.0141690693953874,0.0261049591958978,0,0,-0.0305938561318374,0.0268487510670243,-0.0447401981361493,0.0115741877206297,-0.00546143057112854,-0.112688732724864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GALNT12",-0.00818024789969153,0.0664173554529406,0.107198908168812,0,0.000250253015345871,-0.00933808784517201,-0.130888609165511,-0.0437162448368377,0.0202677265245371,0.0462885118424438,0.00872998376935133,0,-0.0229426030453572,0,-0.0748016068534548,0,-0.0842220491685113,0,-0.164016555170304,0.0438162519258695,0.0219788888954503,0.0484384813377622,-0.038763379735901,-0.0894488659201182,0.126527213895329,-0.0805811395627358,0.0215881219901523,-0.030626829023783,0,0.000175997757926174,0.039100028338778,0.00264795152721937,-0.101198287121047,0,0,0.00293516052701641,0.0408024357785312,0.0495209479055985,0.0465841264329841,0.0247324664884756,0.0204338084121302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBALD1",0,-0.00142849717659374,-0.0328782833417882,-0.00528448027050697,-0.0939564481121617,0.110250668891136,-0.0719069807066114,-0.0425926822021535,-0.0244042148407415,-0.0173437631626981,0.00939489585503009,0,-0.0512320255466113,-0.0159030255202331,0,-0.0199025055377336,0.0500674958649233,0.0682838757919799,0.0175580965856713,0.0271453862865076,0.127602997085579,-0.0210365663532658,0.0531117100623058,0.0310270835210389,-0.0227259993942295,0.0428414457202092,0.1355703668187,0.101767655314528,0,-0.0234732250497601,-0.0206784084394001,-0.0444943150708206,0.234739019925226,0,0,-0.0376259294253104,-0.0376028451241103,-0.00624020860763598,0.0225947680499895,0,-0.0290998970335158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGAP9",0.0576811812788559,0,0.0203288265649827,0.0677551799074685,0.0220152907635916,0.134602222524231,-0.0427304919492855,0.0397460348462121,0.00821768463681967,0.0281559488488243,-0.0501667369475204,0.0112574062596979,0.169033405988341,-0.061935870820042,-0.0437075139409083,0,0.0265381033940455,0.0343404170189109,-0.0435653084037987,0.039023236785671,0,-0.0230013656966697,-0.0407063230262852,-0.0776252776062532,-0.0283360459183564,-0.017093562694564,-0.0669746388600827,0.017330642457237,0,0.00653145469174603,0.183252306828544,0.0258448682104664,0,0.0378064367898398,0.00710147331052354,0.125437383012967,-0.011963298722065,-0.0275607042184291,-0.0578813904299622,0,0.0111854431833337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LSS",0.00881746126239406,0,-0.00992797239942451,-0.000707467008807206,0.133663262955964,-0.041078469659811,-0.0673401591362603,0.0239399074274436,-0.0187626144802962,-0.0125468278124381,0.0245216738213401,0.0428263837010583,0.0358835154141997,-0.0470837971848917,0.0589379620509276,-0.0243745841875781,0,0.071162304295187,0.0549126370696954,-0.0653585266689219,0.0491273181201741,-0.0139097289203008,0.0163833279809699,0.0389919068428873,0.0140386983009336,0.00635241434322572,-0.064863425377082,0.0880990570399698,0.0871857275811914,-0.0160899120361424,0,-0.0152872291469927,0.013370978449003,0.0470278151938402,0.0125766902006135,0.0198238459676748,-0.0140893979332473,-0.00129072281517398,-0.0179595799519671,-0.0593564474095989,0.0270078551667558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100133227",0.0336911789659967,0.00136718398065715,0.0599380189803315,-0.00647900539347867,0.0585285428843743,0.0721505701257288,-0.0291361343791588,0.0948147516893377,0.0129814692787257,-0.0213850447538606,-0.0125667374709377,0.0444093250535605,0.0557061089351476,0.00902799026322882,0.0565128005996218,0,0.0552144542444804,0,0.113492041150393,0.117278049881081,0.04672563819957,-0.0606447818735683,0.0827290940166118,0.0527614966952651,-0.0116987683695991,0.0202627157510949,0.18791304218826,0.00413232267374658,0,-0.0194495785639255,0.0173095091283077,0.0144005945883448,0.0393858667851444,-0.0166965877313574,-0.0784495557459088,-0.0835873291783518,0.0896585295033769,-0.0414615135470249,-0.0144286941606299,-0.000780061842366605,0.0422938660358437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
